dataHora,ordem,linha,latitude,longitude,velocidade
12-28-2017 00:00:29,D53575,,"-22.88413","-43.495331",0
12-28-2017 00:00:54,D53569,,"-22.88372","-43.494991",0
12-28-2017 00:04:38,D53513,,"-22.88414","-43.495399",0
12-28-2017 00:14:42,B32593,298,"-22.83127","-43.345291",0
12-28-2017 00:20:13,B28724,,"-22.81464","-43.18856",0
12-28-2017 00:23:54,B44693,638,"-22.86071","-43.355751",0
12-28-2017 00:27:06,A37662,,"-22.90134","-43.196301",1
12-28-2017 00:27:45,D53685,759,"-22.8839","-43.494801",0
12-28-2017 00:29:15,C47703,887,"-22.952209","-43.349098",0
12-28-2017 00:30:54,D53750,,"-22.884279","-43.496109",0
12-28-2017 00:33:14,D53601,,"-22.884239","-43.495781",0
12-28-2017 00:34:32,D53587,,"-22.884291","-43.49572",0
12-28-2017 00:38:39,C13079,,"-23.00808","-43.30349",0
12-28-2017 00:38:39,C13079,,"-23.00808","-43.30349",0
12-28-2017 00:39:24,A37557,,"-22.901911","-43.197231",0
12-28-2017 00:47:20,B27132,951,"-22.849541","-43.323528",0
12-28-2017 00:47:20,B27132,951,"-22.849541","-43.323528",0
12-28-2017 00:47:20,B27132,951,"-22.849541","-43.323528",0
12-28-2017 00:47:20,B27132,951,"-22.849541","-43.323528",0
12-28-2017 00:48:21,D17118,840,"-22.9161","-43.6077",0
12-28-2017 00:59:11,D53745,,"-22.883989","-43.494869",0
12-28-2017 01:01:24,A27621,432,"-22.919901","-43.256569",0
12-28-2017 01:06:08,D53679,759,"-22.88394","-43.495892",0
12-28-2017 01:06:41,D53742,,"-22.88442","-43.49509",0
12-28-2017 01:11:32,D53561,,"-22.88435","-43.4953",0
12-28-2017 01:12:54,D53711,,"-22.883751","-43.494709",0
12-28-2017 01:13:25,A37589,,"-22.901831","-43.19622",0
12-28-2017 01:17:20,B27146,SVA905,"-22.84948","-43.32333",0
12-28-2017 01:17:20,B27146,SVA906,"-22.84948","-43.32333",0
12-28-2017 01:23:59,D87837,,"-22.916349","-43.60738",0
12-28-2017 01:26:15,D53507,,"-22.883659","-43.49588",0
12-28-2017 01:34:55,D53722,,"-22.88352","-43.496311",0
12-28-2017 01:39:42,B32538,298,"-22.816059","-43.394779",0
12-28-2017 01:54:11,B63095,,"-22.86729","-43.258549",0
12-28-2017 02:01:01,A37543,,"-22.90159","-43.19656",0
12-28-2017 02:02:16,A27631,432,"-22.92062","-43.25634",0
12-28-2017 02:06:26,B58046,,"-22.83606","-43.285831",0
12-28-2017 02:29:28,B27019,629,"-22.81757","-43.301628",0
12-28-2017 02:34:10,A37575,,"-22.9021","-43.196781",0
12-28-2017 02:37:07,B71062,247,"-22.888294","-43.292267",0.19
12-28-2017 02:45:59,D17125,840,"-22.91847","-43.607521",0
12-28-2017 02:53:12,B10054,,"-22.815611","-43.186615",0
12-28-2017 03:03:52,A37643,,"-22.90148","-43.196331",0
12-28-2017 03:07:57,B28509,326,"-22.81534","-43.188129",0
12-28-2017 03:07:58,D13069,790,"-22.87998","-43.358261",0
12-28-2017 03:08:15,C44591,783,"-22.861259","-43.35574",0
12-28-2017 03:11:32,B28602,329,"-22.815969","-43.188271",0
12-28-2017 03:21:46,C44574,685,"-22.828501","-43.330441",19
12-28-2017 03:33:08,A37647,,"-22.90234","-43.196369",0
12-28-2017 03:39:39,C47878,,"-22.952431","-43.349041",0
12-28-2017 03:39:58,A29114,,"-22.868259","-43.292542",0
12-28-2017 03:51:56,D53921,2310,"-22.8836","-43.494732",0
12-28-2017 04:01:15,B82537,265,"-22.858728","-43.371067",1.85
12-28-2017 04:08:39,D17098,885,"-22.948139","-43.653412",68
12-28-2017 04:12:16,B71010,239,"-22.889919","-43.292374",0
12-28-2017 04:14:34,A41303,,"-22.858236","-43.244247",0.37
12-28-2017 04:15:21,A55003,,"-22.8654","-43.29966",0
12-28-2017 04:16:36,D53505,397,"-22.982969","-43.685268",26
12-28-2017 04:26:30,C22030,611,"-22.957409","-43.34486",0
12-28-2017 04:30:29,B32727,687,"-22.83996","-43.398941",27
12-28-2017 04:32:38,C30315,557,"-22.951309","-43.34827",0
12-28-2017 04:33:09,C30237,,"-22.94632","-43.360161",0
12-28-2017 04:40:11,C41355,315,"-22.874241","-43.241215",0.19
12-28-2017 04:46:57,C20163,600,"-22.958187","-43.345734",0
12-28-2017 04:52:03,A29161,,"-22.868059","-43.291828",0
12-28-2017 04:54:22,C12048,,"-22.88941","-43.716911",0
12-28-2017 05:00:46,D53534,397,"-22.883961","-43.494961",0
12-28-2017 05:01:50,D53695,397,"-22.88349","-43.495049",0
12-28-2017 05:05:27,A27531,439,"-22.92128","-43.255981",0
12-28-2017 05:05:28,A37544,,"-22.901239","-43.19651",0
12-28-2017 05:05:36,C30274,550,"-22.946711","-43.361149",17
12-28-2017 05:06:38,C51574,,"-22.901381","-43.34724",0
12-28-2017 05:09:05,A27552,,"-23.00345","-43.324539",52
12-28-2017 05:16:02,B10036,,"-22.816343","-43.187157",0
12-28-2017 05:19:22,B32665,298,"-22.852209","-43.39312",38
12-28-2017 05:20:43,C30300,,"-22.947069","-43.360439",20
12-28-2017 05:21:05,C30229,,"-22.966579","-43.18668",0
12-28-2017 05:22:45,A27655,,"-22.939989","-43.200191",0
12-28-2017 05:27:56,B28568,321,"-22.78904","-43.16206",0
12-28-2017 05:28:32,B58048,622,"-22.836691","-43.285389",0
12-28-2017 05:30:31,B55091,311,"-22.875601","-43.323849",0
12-28-2017 05:31:42,B55143,,"-22.906269","-43.260872",0
12-28-2017 05:34:31,D53579,759,"-22.92588","-43.67897",35
12-28-2017 05:40:21,C12045,2333,"-22.91502","-43.68232",0
12-28-2017 05:57:20,A27612,,"-22.95055","-43.184189",0
12-28-2017 05:58:28,A27521,432,"-22.91996","-43.256512",0
12-28-2017 06:00:44,B58025,,"-22.837311","-43.28669",25
12-28-2017 06:08:16,A55060,,"-22.87562","-43.323662",15
12-28-2017 06:08:47,A48104,201,"-22.90818","-43.172867",0.19
12-28-2017 06:14:55,B32805,2305,"-22.80616","-43.32526",15
12-28-2017 06:17:17,D17075,,"-22.918301","-43.60854",0
12-28-2017 06:18:28,A27574,,"-23.002569","-43.36554",17
12-28-2017 06:20:31,C47913,,"-22.87867","-43.272419",0
12-28-2017 06:25:47,B28551,935,"-22.79563","-43.210239",26
12-28-2017 06:31:04,C47659,,"-23.001751","-43.36573",0
12-28-2017 06:32:08,A29112,476,"-22.8678","-43.290569",0
12-28-2017 06:32:20,A55040,,"-22.86536","-43.299919",14
12-28-2017 06:32:21,C13064,878,"-22.87845","-43.491871",0
12-28-2017 06:33:00,B32812,687,"-22.86562","-43.300892",0
12-28-2017 06:33:00,D86380,867,"-22.970028","-43.630898",48.89
12-28-2017 06:37:18,B71158,238,"-22.929544","-43.25412",0
12-28-2017 06:41:10,D86121,802,"-22.894135","-43.532124",0.74
12-28-2017 06:42:06,C30289,558,"-22.97373","-43.333832",17
12-28-2017 06:43:50,D13260,803,"-22.882669","-43.487309",39
12-28-2017 06:44:08,A27653,,"-22.93976","-43.200089",0
12-28-2017 06:44:10,B25549,,"-22.902309","-43.2985",0
12-28-2017 06:44:32,B28720,,"-22.902281","-43.181671",0
12-28-2017 06:45:23,C30063,550,"-22.980169","-43.226631",30
12-28-2017 06:46:17,C12028,,"-23.01903","-43.483391",22
12-28-2017 06:47:45,A48127,134,"-22.910582","-43.269836",4.07
12-28-2017 06:52:33,D13194,731,"-22.87252","-43.497139",9
12-28-2017 06:56:43,B58198,313,"-22.83699","-43.286091",0
12-28-2017 06:58:05,C30077,550,"-22.982389","-43.227348",37
12-28-2017 06:58:10,D53747,846,"-22.90793","-43.551239",0
12-28-2017 07:08:08,C13044,,"-22.87858","-43.491711",0
12-28-2017 07:13:11,D87288,898,"-22.96405","-43.704311",20
12-28-2017 07:13:38,C47951,,"-22.878941","-43.272099",0
12-28-2017 07:14:47,D12160,2382,"-22.909019","-43.18",0
12-28-2017 07:16:51,A29030,,"-10.92693","-37.11372",0
12-28-2017 07:20:58,D87877,2307,"-22.858971","-43.502869",75
12-28-2017 07:21:41,B32654,946,"-22.835991","-43.340698",59
12-28-2017 07:23:17,B28721,,"-22.90251","-43.18396",24
12-28-2017 07:24:44,C47945,,"-22.971359","-43.400162",47
12-28-2017 07:26:36,A37515,,"-22.902451","-43.197041",0
12-28-2017 07:33:54,B42522,,"-22.876051","-43.329609",0
12-28-2017 07:36:46,B58192,,"-22.836531","-43.286308",14
12-28-2017 07:40:34,C47503,306,"-22.87982","-43.357029",0
12-28-2017 07:43:46,C47905,,"-22.879589","-43.270882",25
12-28-2017 07:44:15,A55114,434,"-22.914009","-43.17794",22
12-28-2017 07:44:48,C41873,2012,"-22.950041","-43.181561",50
12-28-2017 07:45:41,D13323,394,"-22.856091","-43.491791",0
12-28-2017 07:46:12,B28722,,"-22.90642","-43.19458",47
12-28-2017 07:47:52,C41890,2015,"-22.977381","-43.365231",56
12-28-2017 07:47:52,D13356,,"-22.88496","-43.403",25
12-28-2017 07:47:59,B71003,247,"-22.888805","-43.29216",0
12-28-2017 07:48:15,C30254,,"-22.95154","-43.348",0
12-28-2017 07:49:59,B42530,,"-22.87623","-43.32962",0
12-28-2017 07:50:30,C41841,2018,"-22.811399","-43.248421",32
12-28-2017 07:50:33,C41884,,"-22.89683","-43.203831",2
12-28-2017 07:51:02,A29127,,"-22.868401","-43.292099",0
12-28-2017 07:51:07,B82564,653,"-22.858112","-43.370983",0.19
12-28-2017 07:53:49,C44526,721,"-22.842541","-43.372799",33
12-28-2017 07:57:50,A41861,2018,"-22.89661","-43.202782",0
12-28-2017 07:59:37,C41896,2018,"-22.984921","-43.21138",0
12-28-2017 08:02:14,C44680,,"-22.986959","-43.198582",12
12-28-2017 08:02:35,B55078,,"-22.922199","-43.26424",19
12-28-2017 08:05:18,D53589,397,"-22.88397","-43.494919",0
12-28-2017 08:06:06,A55036,,"-22.873171","-43.267521",0
12-28-2017 08:07:45,D53586,772,"-22.883329","-43.495121",0
12-28-2017 08:09:51,D53568,393,"-22.883249","-43.495129",0
12-28-2017 08:12:13,C30286,550,"-22.982981","-43.227921",6
12-28-2017 08:15:54,C30339,565,"-23.0009","-43.334961",0
12-28-2017 08:16:47,C47497,554,"-22.99917","-43.269051",0
12-28-2017 08:16:48,D13231,803,"-22.88224","-43.485149",44
12-28-2017 08:20:58,A29044,,"-22.86861","-43.29129",0
12-28-2017 08:24:57,D87283,,"-22.916929","-43.60836",0
12-28-2017 08:24:58,A29145,209,"-22.86845","-43.292149",0
12-28-2017 08:27:27,D87397,,"-22.917379","-43.607979",0
12-28-2017 08:29:44,B27131,639,"-22.923559","-43.235329",17
12-28-2017 08:31:53,D53917,,"-22.88345","-43.494629",0
